epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,15882.5,0.09427,10.4878,1.13973,0.95303,0.97208,0.98032,0.66704,0.08274,8.56797,1.11175,0.00662885,0.00662885,0.00662885
121,16013.8,0.094,10.3886,1.14124,0.95111,0.97105,0.98009,0.66789,0.08279,8.55572,1.11175,0.00657963,0.00657963,0.00657963
122,16147.5,0.09364,10.4709,1.14006,0.95116,0.97218,0.98035,0.66851,0.08276,8.55519,1.11181,0.00653025,0.00653025,0.00653025
123,16280.8,0.09304,10.3793,1.13749,0.95295,0.97293,0.98044,0.6685,0.08273,8.54999,1.11158,0.00648071,0.00648071,0.00648071
124,16413.6,0.09335,10.4336,1.14363,0.9531,0.97377,0.9791,0.66788,0.08274,8.55351,1.11155,0.00643101,0.00643101,0.00643101
125,16546.5,0.09369,10.4439,1.14192,0.95224,0.97293,0.97878,0.6687,0.08276,8.54011,1.11129,0.00638115,0.00638115,0.00638115
126,16680.1,0.09306,10.3859,1.13379,0.95105,0.97293,0.97912,0.66927,0.08271,8.53063,1.1111,0.00633115,0.00633115,0.00633115
127,16811,0.09275,10.2444,1.13306,0.95204,0.97293,0.9792,0.66847,0.08268,8.53285,1.11108,0.00628101,0.00628101,0.00628101
128,16942,0.09358,10.3088,1.14346,0.953,0.97293,0.97927,0.66846,0.08269,8.53479,1.11139,0.00623074,0.00623074,0.00623074
129,17075.8,0.09279,10.2024,1.14027,0.952,0.97208,0.97939,0.66893,0.08265,8.52012,1.11095,0.00618034,0.00618034,0.00618034
130,17207.6,0.09257,10.2743,1.13397,0.95195,0.97208,0.97942,0.66847,0.08259,8.50728,1.11044,0.00612981,0.00612981,0.00612981
131,17341.5,0.09333,10.2645,1.13961,0.95274,0.97208,0.9796,0.66921,0.08251,8.50823,1.10997,0.00607916,0.00607916,0.00607916
132,17473.1,0.09257,10.1719,1.13499,0.95116,0.97208,0.97968,0.66846,0.08251,8.49771,1.10984,0.0060284,0.0060284,0.0060284
133,17607,0.09257,10.1607,1.13503,0.95011,0.97208,0.97975,0.66961,0.08248,8.48861,1.10964,0.00597754,0.00597754,0.00597754
134,17740.9,0.09363,10.2421,1.13627,0.94999,0.97293,0.97983,0.66927,0.08246,8.48825,1.10972,0.00592657,0.00592657,0.00592657
135,17872.4,0.09236,10.0985,1.13487,0.94868,0.97377,0.97973,0.66981,0.08244,8.49019,1.10974,0.00587551,0.00587551,0.00587551
136,18002.3,0.09195,10.1107,1.12798,0.94913,0.97377,0.97959,0.66987,0.08234,8.4759,1.10954,0.00582435,0.00582435,0.00582435
137,18134.9,0.09265,10.1582,1.13406,0.95069,0.97462,0.97955,0.66941,0.0823,8.46507,1.10941,0.00577311,0.00577311,0.00577311
138,18267.5,0.09253,10.2259,1.13683,0.95085,0.97462,0.97958,0.67019,0.08225,8.4577,1.10951,0.00572179,0.00572179,0.00572179
139,18399.9,0.09263,10.1597,1.13595,0.95087,0.97462,0.9792,0.66999,0.08219,8.44106,1.10929,0.0056704,0.0056704,0.0056704
140,18532.4,0.09232,10.1243,1.12998,0.95009,0.97462,0.97955,0.66983,0.08217,8.43774,1.10919,0.00561894,0.00561894,0.00561894
141,18664.9,0.09273,10.2424,1.13671,0.95004,0.97462,0.97921,0.66994,0.08212,8.43821,1.10897,0.00556742,0.00556742,0.00556742
142,18798.5,0.09234,10.1354,1.13001,0.94955,0.97462,0.97964,0.67061,0.08208,8.44128,1.10883,0.00551584,0.00551584,0.00551584
143,18931.2,0.09209,10.1616,1.13095,0.95,0.97462,0.97966,0.67017,0.08207,8.42534,1.10896,0.00546421,0.00546421,0.00546421
144,19061.4,0.09171,10.16,1.12589,0.9501,0.97462,0.97964,0.67014,0.0821,8.42839,1.10916,0.00541253,0.00541253,0.00541253
145,19193.2,0.09193,10.0829,1.12476,0.95028,0.97462,0.97956,0.66942,0.08211,8.42776,1.10914,0.00536081,0.00536081,0.00536081
146,19324.3,0.09124,9.93947,1.12901,0.95025,0.97462,0.97958,0.66981,0.08211,8.41781,1.10918,0.00530906,0.00530906,0.00530906
147,19458.8,0.09179,10.1211,1.1291,0.95104,0.97462,0.97961,0.67071,0.08207,8.39734,1.10919,0.00525728,0.00525728,0.00525728
148,19588.4,0.09146,9.969,1.1235,0.94961,0.97462,0.97961,0.67124,0.08208,8.40071,1.10908,0.00520548,0.00520548,0.00520548
149,19717.6,0.09144,10.0197,1.12207,0.94879,0.97377,0.97948,0.67161,0.08207,8.39491,1.10884,0.00515366,0.00515366,0.00515366
150,19848.6,0.09142,10.0131,1.12282,0.9496,0.97462,0.97979,0.67129,0.08208,8.39927,1.10911,0.00510184,0.00510184,0.00510184
151,19980.2,0.09097,9.97697,1.12158,0.94874,0.97377,0.97971,0.6708,0.08209,8.38011,1.10925,0.00505,0.00505,0.00505
152,20110.7,0.09044,9.87559,1.11729,0.94872,0.97377,0.97979,0.67094,0.08205,8.37295,1.10891,0.00499816,0.00499816,0.00499816
153,20244,0.09154,9.89978,1.12984,0.94875,0.97377,0.97947,0.67032,0.08201,8.37168,1.1087,0.00494634,0.00494634,0.00494634
